id,created_at,hash,provider,job_id,price,size,title,image_url,description,address_full,link,numeric_price,numeric_size,price_per_sqm,numeric_rooms,year_built,last_refurbishment_year,condition,interior_quality,flat_type,street,zip_code,city,energy_class,heating_type,energy_source,service_charge,additional_purchase_costs,has_balcony,has_garden,has_kitchen,has_cellar,has_lift,is_barrier_free,price_indicator_percent,published_text,is_private,is_active,change_set
LvW1NXtjO8WuughzcxpCS,1761155996884,33568baffdae65f938db7e97a02b94193caf46ab09bb4093053473de485742c1,immoscout,Azq45Wjpu4_oVRN8tTeXa,459.000 €,131 m² m²,6 Zimmer-EG-Wohnung ,https://pictures.immobilienscout24.de/listings/a571f3ac-40b2-4b5c-9bbd-90eca1e33dcf-1900579598.jpg/ORIG/resize/800x600>/format/webp/quality/20,NULL,"Solothurner Straße 2, 74072 Heilbronn, Heilbronner Kernstadt",https://www.immobilienscout24.de/expose/158834523,459000.0,131.0,3503.82,6.0,NULL,NULL,Gepflegt,Normal,Erdgeschosswohnung,Solothurner Straße,74072,Heilbronn,NULL,Etagenheizung,Gas,NULL,32130.0,0,1,0,1,0,0,0.16,vor einem Monat,1,1,NULL
rJ1Q81Sk_n0lo59ilCUrv,1761157806417,162352957,immoscout,Azq45Wjpu4_oVRN8tTeXa,385.000 €,120 m² m²,"4,5-Zimmer-Wohnung mit Loggia und Doppelgarage",https://pictures.immobilienscout24.de/listings/697ed6f2-1413-4c67-a128-31aa9ca8da83-1950120583.jpg/ORIG/resize/800x600>/format/webp/quality/20,NULL,"74081 Heilbronn, Sontheim (unvollständige Adresse)",https://www.immobilienscout24.de/expose/162352957,385000.0,120.0,3208.33,4.5,2011,NULL,no_information,no_information,Etagenwohnung,no information,74081,Heilbronn,E,Zentralheizung,Gas,140.0,42985.0,0,0,1,1,0,0,0.01,vor einem Tag,0,1,NULL
3uJ4l52z8mzSb8DeVapUO,1761157806417,162328133,immoscout,Azq45Wjpu4_oVRN8tTeXa,789.000 €,140 m² m²,Heilbronn Stadtbusbereich -cooler Bauplatz tolles Haus,https://pictures.immobilienscout24.de/listings/e77c0f87-9429-42b7-8828-13121c30d1f4-1949718682.jpg/ORIG/resize/800x600>/format/webp/quality/20,NULL,"74078 Heilbronn, Neckargartach (unvollständige Adresse)",https://www.immobilienscout24.de/expose/162328133,789000.0,140.0,5635.71,5.0,NULL,NULL,Erstbezug,Gehoben,no_information,no information,74078,Heilbronn,NULL,Wärmepumpe,NULL,NULL,92786.0,0,0,0,0,0,0,0.57,vor 2 Tagen,0,1,NULL
YWZb19aLrZIRPWHMtMSYO,1761157806417,162241083,immoscout,Azq45Wjpu4_oVRN8tTeXa,455.900 €,62 m² m²,Moderne 3-Zimmer-Wohnung mit Loggia und Balkon,https://pictures.immobilienscout24.de/listings/b52216b5-4e99-4a99-b750-f6a8f72fa724-1948389114.jpg/ORIG/resize/800x600>/format/webp/quality/20,NULL,"Frei-Otto-Straße 14, 74076 Heilbronn, Heilbronner Kernstadt",https://www.immobilienscout24.de/expose/162241083,455900.0,62.0,7353.23,3.0,2024,NULL,Erstbezug,Gehoben,Etagenwohnung,Frei-Otto-Straße,74076,Heilbronn,B,Fernwärme,Nahwärme,NULL,31913.0,1,0,0,1,1,0,0.58,vor 7 Tagen,0,1,NULL
-Hxe7ICdjmDs3DvjmLbd3,1761157806417,162238267,immoscout,Azq45Wjpu4_oVRN8tTeXa,439.000 €,128 m² m²,"Exklusive 3-Zimmer-Architektenwohnung mit zwei Balkonen, Kaminofen und moderner Einbauküche",https://pictures.immobilienscout24.de/listings/72097dbf-15ec-4c5c-a63e-3aa619e8155f-1948316349.jpg/ORIG/resize/800x600>/format/webp/quality/20,NULL,"74078 Heilbronn, Neckargartach (unvollständige Adresse)",https://www.immobilienscout24.de/expose/162238267,439000.0,128.0,3429.69,3.0,1993,2019,Gepflegt,no_information,Dachgeschoss,no information,74078,Heilbronn,D,Etagenheizung,Gas,NULL,46402.0,1,1,1,1,0,0,0.46,vor 7 Tagen,0,1,NULL
AvGUZpxVlneMcV2Yx36TV,1761157806417,132333774,immoscout,Azq45Wjpu4_oVRN8tTeXa,Auf Anfrage,64 m² m²,Otthello - Wohnen am Theater Heilbronn,https://pictures.immobilienscout24.de/listings/95fe3a7c-90f8-4f0a-a2bd-63d6eb48dee8-1871312102.jpg/ORIG/resize/800x600>/format/webp/quality/20,NULL,"Allee 82, 74072 Heilbronn, Heilbronner Kernstadt",https://www.immobilienscout24.de/expose/132333774,NULL,64.0,NULL,2.0,2024,NULL,Erstbezug,Gehoben,Etagenwohnung,Allee,74072,Heilbronn,NULL,Fernwärme,Fernwärme,NULL,NULL,0,0,1,0,1,1,NULL,vor 8 Tagen,0,1,NULL
jdw2L2QT-RntRMG_SaEdn,1761157806417,162161240,immoscout,Azq45Wjpu4_oVRN8tTeXa,425.000 €,90 m² m²,!! Eleganz trifft Stil und Komfort !!,https://pictures.immobilienscout24.de/listings/cbdac54f-4559-46db-8e7c-396eb0f9c965-1949383453.jpg/ORIG/resize/800x600>/format/webp/quality/20,NULL,"74074 Heilbronn, Heilbronner Kernstadt (unvollständige Adresse)",https://www.immobilienscout24.de/expose/162161240,425000.0,90.0,4722.22,3.5,2009,2024,Neuwertig,Gehoben,Etagenwohnung,no information,74074,Heilbronn,D,Fußbodenheizung,Gas,400.0,44923.0,1,0,1,1,1,1,0.25,vor 12 Tagen,0,1,NULL
T6xKWtLE2wmcBEQ0cXYrT,1761157806417,162147820,immoscout,Azq45Wjpu4_oVRN8tTeXa,515.000 €,110 m² m²,"Attraktive 4,5-Zi. Wohnung mit Wintergarten, Gartenanteil & Tiefgarage  *provisionsfrei*",https://pictures.immobilienscout24.de/listings/3b69d215-945c-4f86-b19e-4be34e064bb5-1946881897.jpg/ORIG/resize/800x600>/format/webp/quality/20,NULL,"74081 Heilbronn, Sontheim (unvollständige Adresse)",https://www.immobilienscout24.de/expose/162147820,515000.0,110.0,4681.82,4.5,2016,NULL,Neuwertig,Gehoben,Erdgeschosswohnung,no information,74081,Heilbronn,NULL,Holz-Pelletheizung,Keine Angabe,NULL,36050.0,1,1,1,1,1,1,0.33,vor 13 Tagen,1,1,NULL
36HpbJ26v3ytJiY0D4DPm,1761157806418,162131752,immoscout,Azq45Wjpu4_oVRN8tTeXa,320.000 €,92 m² m²,3-Zimmer Dachgeschosswohnung mit Loft-Flair in Heilbronn-Horkheim ohne Makler-Gebühr,https://pictures.immobilienscout24.de/listings/ff83e6fa-c5b5-4bb8-b3f7-5e6639ba517d-1950040027.jpg/ORIG/resize/800x600>/format/webp/quality/20,NULL,"Hohenloherstrasse 1, 74081 Heilbronn, Horkheim",https://www.immobilienscout24.de/expose/162131752,320000.0,92.0,3478.26,3.0,1985,NULL,Modernisiert,no_information,Dachgeschoss,Hohenloherstrasse,74081,Heilbronn,F,Zentralheizung,Gas,580.0,22400.0,1,0,1,1,0,0,0.43,vor 13 Tagen,0,1,NULL
v1ozswc1jr4oF8aOaA0w5,1761157806418,162116289,immoscout,Azq45Wjpu4_oVRN8tTeXa,215.000 €,50 m² m²,"1,5-Zimmer-Wohnung mit Balkon, Küchenzeile & TG-STP - sofort frei -",https://pictures.immobilienscout24.de/listings/a5427f19-0f4a-4f86-a83b-af53365f2c0e-1946421725.jpeg/ORIG/resize/800x600>/format/webp/quality/20,NULL,"74074 Heilbronn, Heilbronner Kernstadt (unvollständige Adresse)",https://www.immobilienscout24.de/expose/162116289,215000.0,50.0,4300.0,1.5,1990,NULL,Gepflegt,Normal,Erdgeschosswohnung,no information,74074,Heilbronn,D,Zentralheizung,Gas,NULL,22726.0,1,0,1,0,0,0,0.42,vor 14 Tagen,0,1,NULL
